Metric,MSFT,GOOG
Market Cap,2972579528704.0,3682569027584.0
P/E (TTM),24.996876,28.160963
P/E (Fwd),21.224253,22.698635
EV/EBITDA (info),17.139,24.123
P/B,7.6014442,8.8615265
Beta,1.108,1.112
Revenue (TTM),305453000000.0,402837000000.0
Net Income (TTM),119262000000.0,132170000000.0
FCF (TTM),77412000000.0,73266000000.0
EBITDA (TTM),191385000000.0,180698000000.0
Gross Margin %,68.6,59.7
Op. Margin %,46.7,32.0
EBITDA Margin %,62.7,44.9
Net Margin %,39.0,32.8
FCF Margin %,25.3,18.2
ROE %,30.5,31.8
ROA %,17.9,22.2
Current Ratio,1.39,2.01
Quick Ratio,1.38,2.01
Debt / Equity,0.15,0.14
Net Debt,33311000000.0,28583000000.0
Interest Coverage,53.94,175.32
EV/EBITDA (calc),15.69,20.05
EV/Revenue (calc),9.83,8.99
